     3537     5.20000
     2.558876    0.244265   -0.390495
     2.422434    0.859177   -0.391954
     2.160554    1.394971   -0.382179
     1.791340    1.846726   -0.375103
     1.328316    2.202912   -0.377832
     0.794651    2.444632   -0.390263
     0.220762    2.562920   -0.377765
    -0.363110    2.547041   -0.375142
    -0.926689    2.398862   -0.383024
    -1.452896    2.120105   -0.392742
    -1.925235    1.703233   -0.390471
    -2.312257    1.120558   -0.397265
    -2.559370    0.237971   -0.391143
    -2.422552   -0.858383   -0.392963
     1.449845   -2.156190    0.093778
     2.234705   -1.325923    0.089571
     2.544387   -0.531045    0.063910
     2.593892    0.159653    0.078954
     2.477230    0.785792    0.076570
     2.223712    1.344407    0.087594
     1.844421    1.829873    0.098370
     1.361657    2.212934    0.093883
     0.803486    2.471358    0.082474
     0.199688    2.590637    0.093397
    -0.417032    2.564468    0.097918
    -1.010692    2.393976    0.085903
    -1.545216    2.089688    0.074233
    -2.007969    1.649866    0.077491
    -2.373050    1.060413    0.064469
    -2.587685    0.235430    0.091970
    -2.440358   -0.893302    0.081647
     0.448210   -2.560143    0.069119
     1.898110   -1.769929    0.156614
     2.411957   -0.910184    0.337682
     2.555945   -0.148984    0.452712
     2.483372    0.586544    0.498831
     2.221168    1.240916    0.535296
     1.829921    1.760368    0.559012
     1.345814    2.153922    0.556241
     0.786948    2.417573    0.544109
     0.179718    2.533698    0.555048
    -0.443609    2.500331    0.558172
    -1.065539    2.310892    0.533296
    -1.664330    1.934882    0.496224
    -2.156676    1.380092    0.451768
    -2.488071    0.674561    0.338334
    -2.575359   -0.325052    0.147868
    -2.013264   -1.643909    0.065792
     1.483204   -2.049195    0.600755
     2.171213   -1.267637    0.662518
     2.414404   -0.572628    0.776370
     2.442674    0.081240    0.886985
     2.331273    0.662260    0.941583
     2.096653    1.184490    0.980320
     1.741088    1.645340    1.010678
     1.284652    2.024299    1.005923
     0.743920    2.286017    0.990307
     0.152173    2.393666    1.003596
    -0.441670    2.355174    1.009001
    -1.002011    2.190984    0.977529
    -1.499413    1.906008    0.937493
    -1.930776    1.499468    0.885268
    -2.292334    0.952309    0.773506
    -2.500199    0.244579    0.670212
    -2.394347   -0.801984    0.619616
     0.993669   -2.394750    0.194404
     1.869395   -1.657042    0.720815
     2.178273   -0.890829    1.105238
     2.266125   -0.241786    1.251486
     2.191659    0.398207    1.340918
     1.968686    0.962821    1.399018
     1.626195    1.425128    1.443780
